"activity" "subject" "variable" "average_value"
"STANDING" 1 "tBodyAcc-mean()-X" 0.265696920582133
"WALKING_DOWNSTAIRS" 2 "tBodyAcc-mean()-X" 0.273113115788079
"STANDING" 3 "tBodyAcc-mean()-X" 0.273428719636364
"WALKING_DOWNSTAIRS" 4 "tBodyAcc-mean()-X" 0.274183111498423
"STANDING" 5 "tBodyAcc-mean()-X" 0.279177960301325
"STANDING" 6 "tBodyAcc-mean()-X" 0.272376614181538
"STANDING" 7 "tBodyAcc-mean()-X" 0.270211697814935
"STANDING" 8 "tBodyAcc-mean()-X" 0.270759063295374
"WALKING_DOWNSTAIRS" 9 "tBodyAcc-mean()-X" 0.270313841621528
"WALKING_DOWNSTAIRS" 10 "tBodyAcc-mean()-X" 0.27684847392517
"SITTING" 11 "tBodyAcc-mean()-X" 0.276609068219745
"STANDING" 11 "tBodyAcc-mean()-X" 0.27285549
"WALKING_DOWNSTAIRS" 12 "tBodyAcc-mean()-X" 0.272694371584158
"WALKING_UPSTAIRS" 12 "tBodyAcc-mean()-X" 0.275173971949153
"WALKING_UPSTAIRS" 13 "tBodyAcc-mean()-X" 0.275895876198777
"SITTING" 14 "tBodyAcc-mean()-X" 0.270184596009288
"SITTING" 15 "tBodyAcc-mean()-X" 0.27821340725
"SITTING" 16 "tBodyAcc-mean()-X" 0.277887440374317
"SITTING" 17 "tBodyAcc-mean()-X" 0.274029548065217
"WALKING_UPSTAIRS" 18 "tBodyAcc-mean()-X" 0.276324152142857
"LAYING" 19 "tBodyAcc-mean()-X" 0.268339183113475
"SITTING" 19 "tBodyAcc-mean()-X" 0.274728278461538
"WALKING_UPSTAIRS" 20 "tBodyAcc-mean()-X" 0.268425757926554
"LAYING" 21 "tBodyAcc-mean()-X" 0.277466525522059
"LAYING" 22 "tBodyAcc-mean()-X" 0.274767690046106
"LAYING" 23 "tBodyAcc-mean()-X" 0.273493254730108
"WALKING_UPSTAIRS" 24 "tBodyAcc-mean()-X" 0.276767046391076
